pubchem-id	disease-id
5280445.0	MESH:D007249
5280445.0	MESH:D009202
5280445.0	MESH:D002386
5280445.0	MESH:D010051
5280445.0	MESH:D007674
5280445.0	MESH:D008103
5280445.0	MESH:D001169
5280445.0	MESH:D005483
5280445.0	MESH:D002471
5280445.0	MESH:D006529
5280343.0	MESH:D006965
5280343.0	MESH:D007951
5280343.0	MESH:D018149
5280343.0	MESH:D015663
5280343.0	MESH:D011141
5280343.0	MESH:D006528
5280343.0	MESH:D007859
5280343.0	MESH:D011507
5280343.0	MESH:D006937
5280343.0	MESH:D063806
5280343.0	MESH:D009765
5280343.0	MESH:D001749
5280343.0	MESH:D006930
5280343.0	MESH:D009374
5280343.0	MESH:D015228
5280343.0	MESH:D065626
5280343.0	MESH:D006946
5280343.0	MESH:D015179
5280343.0	MESH:D008103
5280343.0	MESH:D008113
5280343.0	MESH:D001260
5280343.0	MESH:D003110
5280343.0	MESH:D009362
5280343.0	MESH:D019446
5280343.0	MESH:D009062
5280343.0	MESH:D005911
5280343.0	MESH:D009845
5280343.0	MESH:D002869
5280343.0	MESH:D002100
5280343.0	MESH:D053609
5280343.0	MESH:D001930
5280343.0	MESH:D004487
5280343.0	MESH:D012554
5280343.0	MESH:D004195
5280343.0	MESH:D019457
5280343.0	MESH:D005234
5280343.0	MESH:D001008
5280343.0	MESH:D002546
5280343.0	MESH:D007683
5280343.0	MESH:D001201
5280343.0	MESH:D003556
5280343.0	MESH:D010051
5280343.0	MESH:D005910
5280343.0	MESH:D004942
5280343.0	MESH:D009369
5280343.0	MESH:D008569
5280343.0	MESH:D002375
5280343.0	MESH:D050171
5280343.0	MESH:D024821
5280343.0	MESH:D006976
5280343.0	MESH:D033461
5280343.0	MESH:D005355
5280343.0	MESH:D020263
5280343.0	MESH:D002294
5280343.0	MESH:D015428
5280343.0	MESH:D015430
5280343.0	MESH:D012878
5280343.0	MESH:D029424
5280343.0	MESH:D007251
5280343.0	MESH:D021441
5280343.0	MESH:D007627
5280343.0	MESH:D006332
5280343.0	MESH:D008114
5280343.0	MESH:D006471
5280343.0	MESH:D007333
5280343.0	MESH:D011230
5280343.0	MESH:D011041
