disease-id	disease-name	other-ids	parent-ids	disease-treenum	disease-synonyms	disease-category
OMIM:616890	SPLIT-FOOT MALFORMATION WITH MESOAXIAL POLYDACTYLY		MESH:D017689|MESH:D017880	C05.660.585.600/616890|C05.660.585/616890|C16.131.621.585.600/616890|C16.131.621.585/616890	SFMMP	Congenital abnormality|Musculoskeletal disease
MESH:D008924	Mite Infestations	DO:DOID:7894	MESH:D004478	C03.858.211.480	Acariasis|Infestation, Mite|Infestations, Mite|Mange|Mite Infestation	Parasitic disease
MESH:D012600	Scoliosis	DO:DOID:0060249	MESH:D013121	C05.116.900.800.875	Scolioses	Musculoskeletal disease
MESH:D002291	Carcinoma, Papillary	DO:DOID:3113	MESH:D002277|MESH:D018307	C04.557.470.200.360|C04.557.470.700.360	Carcinomas, Papillary|Papillary Carcinoma|Papillary Carcinomas	Cancer
MESH:C567254	Diamond-Blackfan Anemia 7	OMIM:612562	MESH:D029503	C15.378.071.085.080.090/C567254|C15.378.071.750.500/C567254|C15.378.190.196.080.090/C567254|C16.320.077.090/C567254	DBA7	Blood disease|Genetic disease (inborn)
MESH:C567548	Orofacial Cleft 12	OMIM:612858	MESH:D002971|MESH:D002972	C05.500.460.185/C567548|C05.660.207.540.460.185/C567548|C07.320.440.185/C567548|C07.465.409.225/C567548|C07.465.525.164/C567548|C07.465.525.185/C567548|C07.650.500.460.185/C567548|C07.650.525.164/C567548|C07.650.525.185/C567548|C16.131.621.207.540.460.185/C567548|C16.131.850.500.460.185/C567548|C16.131.850.525.164/C567548|C16.131.850.525.185/C567548	Cleft Lip with or without Cleft Palate, Nonsyndromic, 12|OFC12	Congenital abnormality|Mouth disease|Musculoskeletal disease
MESH:C563663	Immunodeficiency due to Defect in MAPBP-Interacting Protein	OMIM:610798	MESH:D007153	C20.673/C563663		Immune system disease
MESH:C536254	Pyridoxine-dependent epilepsy	OMIM:266100|OMIM:617290	MESH:D004827	C10.228.140.490/C536254	Aasa Dehydrogenase Deficiency|EPD|EPILEPSY, EARLY-ONSET, VITAMIN B6-DEPENDENT|Epilepsy, Pyridoxine-Dependent|EPVB6D|PDE|Pyridoxine dependency|Pyridoxine dependency with seizures|PYRIDOXINE-DEPENDENT EPILEPSY|Pyridoxine-Dependent Seizures|Vitamin B6-Dependent Seizures	Nervous system disease
MESH:C564273	Deafness, Autosomal Recessive 38	OMIM:608219	MESH:D006319	C09.218.458.341.887/C564273|C10.597.751.418.341.887/C564273|C23.888.592.763.393.341.887/C564273	DFNB38	Ear-nose-throat disease|Nervous system disease|Signs and symptoms
MESH:C564675	Deafness, Autosomal Dominant 36	OMIM:606705	MESH:D006319	C09.218.458.341.887/C564675|C10.597.751.418.341.887/C564675|C23.888.592.763.393.341.887/C564675	DFNA36	Ear-nose-throat disease|Nervous system disease|Signs and symptoms
