pmid	food-id	disease-id	association
7398283	Plant ID:4045	MESH:D004487	Negative
7398283	Plant ID:4045	MESH:D014581	Negative
7398283	Plant ID:4043	MESH:D004487	Negative
7398283	Plant ID:4043	MESH:D014581	Negative
24268374	Plant ID:3483	MESH:D021081	Negative
24273069	Plant ID:136217	MESH:D000544	Positive
24274004	Plant ID:4097	MESH:D012131	Negative
24274317	Plant ID:4217	MESH:D001523	Positive
24274397	Plant ID:136217	MESH:D009369	Positive
24274397	Plant ID:136217	MESH:D015179	Positive
24278325	Plant ID:4097	MESH:C535575	Negative
24284663	Plant ID:4530	MESH:D009140	Negative
24287564	Plant ID:43166	MESH:D015431	Positive
24289541	Plant ID:3562	MESH:D007239	Negative
10488910	Plant ID:4547	MESH:D009422	Negative
10488910	Plant ID:3818	MESH:D009422	Negative
10507118	Plant ID:4097	MESH:D008175	Negative
25011215	Plant ID:3847	MESH:D009369	Positive
25011215	Plant ID:3847	MESH:D002318	Positive
28258023	Plant ID:300354	MESH:D009369	Positive
1586007	Plant ID:4146	MESH:D006255	Negative
1588235	Plant ID:4577	MESH:D008202	Positive
1600521	Plant ID:4097	MESH:D001943	Negative
1600521	Plant ID:4097	MESH:D009369	Negative
1603007	Plant ID:4550	MESH:D004342	Negative
1603007	Plant ID:4550	MESH:D004342	Negative
8461851	Plant ID:3483	MESH:D001523	Negative
8463009	Plant ID:4097	MESH:D001157	Negative
28142119	Plant ID:3311	MESH:D001249	Positive
28142119	Plant ID:3311	MESH:D001991	Positive
28142119	Plant ID:3311	MESH:D002318	Positive
19875038	Plant ID:4097	MESH:D003643	Negative
19877562	Plant ID:3818	MESH:D004342	Negative
19877562	Plant ID:3818	MESH:D004342	Negative
19877562	Plant ID:3818	MESH:D004342	Negative
19877562	Plant ID:3818	MESH:D004342	Negative
19877562	Plant ID:3818	MESH:D004342	Negative
19877562	Plant ID:3818	MESH:D004342	Positive
12628446	Plant ID:193516	MESH:D001791	Positive
12630561	Plant ID:180763	MESH:D002318	Positive
12630561	AlcoholicBev ID:32	MESH:D002318	Positive
12637253	Plant ID:136217	MESH:D003092	Positive
12637253	Plant ID:136217	MESH:D003092	Positive
12640079	Plant ID:4097	MESH:D006973	Negative
12640079	Plant ID:4097	MESH:D003920	Negative
12640079	Plant ID:4097	MESH:D020521	Negative
12651409	Plant ID:46220	MESH:D009369	Positive
12651409	Plant ID:46220	MESH:D009369	Positive
21639405	Plant ID:3311	MESH:D003704	Positive
21639405	Plant ID:82528	MESH:D003704	Positive
21639405	Plant ID:4054	MESH:D003704	Positive
21639405	Plant ID:39338	MESH:D003704	Positive
23787181	Plant ID:3735	MESH:D013276	Positive
23787181	Plant ID:29722	MESH:D013276	Positive
23794119	Plant ID:136217	MESH:D001523	Positive
23800018	Plant ID:76025	MESH:D009765	Positive
23811270	Plant ID:4682	MESH:D063646	Positive
23811558	Plant ID:4054	MESH:D009369	Positive
23811558	Plant ID:4054	MESH:D007249	Positive
23811558	Plant ID:4054	MESH:D003920	Positive
23811558	Plant ID:4054	MESH:D000163	Positive
23811558	Plant ID:4054	MESH:D009369	Positive
23811558	Plant ID:4054	MESH:D007249	Positive
23811558	Plant ID:4054	MESH:D003920	Positive
23811558	Plant ID:4054	MESH:D000163	Positive
27602097	Plant ID:1238152	MESH:D009369	Positive
27602097	Plant ID:1238152	MESH:D004194	Positive
24584929	Plant ID:13443	MESH:D011471	Positive
24584929	Plant ID:13443	MESH:D011471	Positive
24584929	Plant ID:13443	MESH:D011471	Positive
24584929	Plant ID:13443	MESH:D011471	Positive
24600306	Plant ID:78534	MESH:D056486	Positive
24604262	Plant ID:50507	MESH:D056486	Positive
24604262	Plant ID:50507	MESH:D017114	Positive
24608187	Plant ID:13443	MESH:D013274	Positive
24608187	Plant ID:13443	MESH:D013274	Positive
24608187	Plant ID:13443	MESH:D063646	Positive
28951300	Plant ID:193516	MESH:D003920	Negative
710096	Plant ID:34256	MESH:D004342	Negative
710096	Plant ID:29719	MESH:D004342	Negative
20301925	Plant ID:4097	MESH:D003643	Negative
20304643	Plant ID:3712	MESH:D009369	Positive
2498187	Plant ID:3906	MESH:D006461	Negative
24748433	Plant ID:126910	MESH:D001168	Positive
24761120	Plant ID:4112	MESH:D003920	Positive
24773179	Plant ID:3621	MESH:D007674	Positive
6614409	Plant ID:185002	MESH:D004342	Negative
6614643	Plant ID:4097	MESH:D008175	Negative
9517856	Plant ID:4097	MESH:D010302	Positive
9527979	Plant ID:4097	MESH:D003928	Negative
20003590	Plant ID:4498	MESH:D003920	Positive
20008963	Plant ID:100506	MESH:D002318	Positive
20019075	Plant ID:4530	MESH:D009369	Positive
20019075	Plant ID:4530	MESH:D009369	Positive
20019075	Plant ID:4530	MESH:D007249	Positive
20019075	Plant ID:4530	MESH:D009369	Positive
20021088	Plant ID:4097	MESH:D008708	Negative
28027904	Plant ID:3528	MESH:D004194	Positive
15121260	Plant ID:4097	MESH:D009369	Negative
15129075	Plant ID:4097	MESH:D055959	Negative
15138016	Plant ID:47037	MESH:D003967	Positive
19096709	Plant ID:128608	MESH:D003920	Positive
19096709	Plant ID:128608	MESH:D006949	Positive
16612464	Plant ID:3483	MESH:D001008	Negative
16612464	Plant ID:3483	MESH:D011605	Negative
16612765	Plant ID:4097	MESH:D011657	Negative
14750204	Plant ID:65561	MESH:D009369	Positive
14750204	Plant ID:65561	MESH:D009369	Positive
14764309	Plant ID:136217	MESH:D063646	Positive
14764309	Plant ID:136217	MESH:D011565	Positive
14764309	Plant ID:136217	MESH:D056486	Positive
23979886	Plant ID:35608	MESH:D008288	Positive
23991315	Plant ID:4097	MESH:D029424	Negative
23993439	Plant ID:4097	MESH:D003643	Negative
15885167	Plant ID:3621	MESH:D019106	Positive
15885951	Plant ID:39414	MESH:D006255	Negative
15890470	Plant ID:71251	MESH:D007565	Positive
15890470	Plant ID:82322	MESH:D008107	Positive
15894670	Plant ID:4097	MESH:D002294	Negative
15901053	Plant ID:126910	MESH:D009410	Positive
15901053	Plant ID:126910	MESH:D010300	Positive
12847569	Plant ID:3311	MESH:D003704	Positive
25527143	Plant ID:4097	MESH:D009369	Negative
28343039	Plant ID:4097	MESH:D009062	Negative
28343039	Plant ID:4097	MESH:D009369	Negative
28452959	Plant ID:22663	MESH:D007249	Positive
28452959	Plant ID:22663	MESH:D007249	Positive
28452959	Plant ID:22663	MESH:D063646	Positive
7699353	Plant ID:4097	MESH:D000031	Negative
7699353	Plant ID:4097	MESH:D000031	Negative
7701845	Plant ID:4097	MESH:D014777	Negative
16987414	Plant ID:183298	MESH:D009202	Positive
16999030	Plant ID:555479	MESH:D003925	Positive
16999030	Plant ID:555479	MESH:D003920	Positive
17005373	Plant ID:3483	MESH:D011605	Negative
17009838	Plant ID:49992	MESH:D001991	Positive
17009838	Plant ID:49992	MESH:D001991	Positive
21586620	Plant ID:4097	MESH:D063646	Negative
21586620	Plant ID:4097	MESH:D001749	Negative
21591990	Plant ID:4054	MESH:D002318	Positive
21593591	Plant ID:3483	MESH:D009369	Positive
21596068	Plant ID:65409	MESH:D009369	Positive
21596068	Plant ID:65409	MESH:D010190	Positive
21596068	Plant ID:65409	MESH:D010190	Positive
21597196	Plant ID:57577	MESH:D008545	Positive
21609336	Plant ID:4081	MESH:D064420	Positive
21609336	Plant ID:4081	MESH:D064420	Positive
2605049	Plant ID:4097	MESH:D010024	Negative
29055172	Plant ID:94328	MESH:D009369	Positive
29055172	Plant ID:94328	MESH:D001943	Positive
26981602	Plant ID:4097	MESH:D009369	Negative
26981882	Plant ID:3906	MESH:D000743	Negative
26988472	Plant ID:3760	MESH:D011023	Positive
26989496	Plant ID:124943	MESH:D003048	Positive
26989496	Plant ID:587579	MESH:D003048	Positive
26989496	Plant ID:587579	MESH:D003048	Positive
26989496	Plant ID:124943	MESH:D003048	Positive
26989716	Plant ID:3559	MESH:D004342	Negative
26991068	Plant ID:58944	MESH:D009369	Positive
18008167	Plant ID:35608	MESH:D008288	Positive
18023427	Plant ID:3712	MESH:D001943	Positive
18023427	Plant ID:3712	MESH:D001943	Positive
18023427	Plant ID:3712	MESH:D001943	Positive
18030661	Plant ID:183260	MESH:D050197	Positive
18030661	Plant ID:183260	MESH:D050197	Positive
21912172	Plant ID:3818	MESH:D004342	Negative
21912172	Plant ID:3818	MESH:D004342	Negative
21916706	Plant ID:4682	MESH:D015179	Positive
19671936	Plant ID:3755	MESH:D005512	Negative
19671936	Plant ID:3755	MESH:D004342	Negative
19671936	Plant ID:3755	MESH:D005512	Negative
19671936	Plant ID:3755	MESH:D004342	Negative
19691920	Plant ID:55513	MESH:D002318	Positive
19695684	Plant ID:4097	MESH:D003643	Negative
19695684	Plant ID:4097	MESH:D008175	Negative
19695871	Plant ID:3747	MESH:D006943	Positive
19695871	Plant ID:3747	MESH:D003920	Positive
19695871	Plant ID:3747	MESH:D006973	Positive
28829155	Plant ID:126910	MESH:D013959	Positive
28829155	Plant ID:126910	MESH:D013959	Positive
28829155	Plant ID:126910	MESH:D007037	Positive
28829355	Plant ID:38851	MESH:D015835	Positive
22166376	Plant ID:4054	MESH:D008569	Positive
22168545	Plant ID:72368	MESH:D064420	Positive
22169919	Plant ID:3641	MESH:D003324	Positive
22169919	Plant ID:3641	MESH:D009203	Positive
22172987	Plant ID:4682	MESH:D066126	Positive
15811563	Plant ID:3311	MESH:D001791	Positive
15822722	Plant ID:4097	MESH:D003643	Negative
15822722	Plant ID:4097	MESH:D003643	Negative
15824161	Plant ID:4097	MESH:D063646	Negative
15824161	Plant ID:4097	MESH:D009422	Negative
15827387	Plant ID:3559	MESH:D006255	Negative
15827387	Plant ID:3559	MESH:D006255	Negative
26255139	Plant ID:126910	MESH:D009369	Positive
