common-names	food-name	food-id	food-category	scientific-name	tax-id
alexanders; horse parsley	Alexanders	Plant ID:40962	Miscellaneous	Smyrnium olusatrum	40962.0
	Scrophularia umbrosa	Plant ID:942083	Miscellaneous	Scrophularia umbrosa	942083.0
dotted blazing star	Dotted blazing star	Plant ID:344074	Miscellaneous	Liatris punctata	344074.0
plymouth pear	Plymouth pear	Plant ID:761867	Miscellaneous	Pyrus cordata	761867.0
	Rhododendron kaempferi	Plant ID:49166	Miscellaneous	Rhododendron kaempferi	49166.0
	Symplocos tinctoria	Plant ID:98319	Miscellaneous	Symplocos tinctoria	98319.0
	Vaccinium fuscatum	Plant ID:98321	Miscellaneous	Vaccinium fuscatum	98321.0
wild rosemary; crystal tea; marsh tea	Wild rosemary	Plant ID:49170	Miscellaneous	Rhododendron tomentosum	49170.0
hollyhock	Hollyhock	Plant ID:65557	Miscellaneous	Alcea rosea	65557.0
caper; caperbush	Caper	Plant ID:65558	Nuts & Seeds	Capparis spinosa	65558.0
	Centaurium erythraea	Plant ID:172057	Miscellaneous	Centaurium erythraea	172057.0
	Bambusa polymorpha	Plant ID:483354	Miscellaneous	Bambusa polymorpha	483354.0
	Hypericum perforatum	Plant ID:65561	Herbs and Spices	Hypericum perforatum	65561.0
	Rosa davurica	Plant ID:237596	Miscellaneous	Rosa davurica	237596.0
	Agathis moorei	Plant ID:57373	Miscellaneous	Agathis moorei	57373.0
	Lagochilus inebrians	Plant ID:2039840	Miscellaneous	Lagochilus inebrians	2039840.0
	Aster glehnii	Plant ID:303144	Miscellaneous	Aster glehnii	303144.0
prairie bundleflower	Prairie bundleflower	Plant ID:196648	Miscellaneous	Desmanthus illinoensis	196648.0
	Caesia calliantha	Plant ID:221226	Miscellaneous	Caesia calliantha	221226.0
	Polygonatum pubescens	Plant ID:221231	Miscellaneous	Polygonatum pubescens	221231.0
	Astragalus boeticus	Plant ID:90162	Miscellaneous	Astragalus boeticus	90162.0
	Attalea colenda	Plant ID:1933363	Miscellaneous	Attalea colenda	1933363.0
boke; mu gua	Boke	Plant ID:106546	Miscellaneous	Chaenomeles speciosa	106546.0
southern crabapple	Southern crabapple	Plant ID:106547	Miscellaneous	Malus angustifolia	106547.0
shan jing zi	Shan jing zi	Plant ID:106549	Miscellaneous	Malus baccata	106549.0
sweet crabapple	Sweet crabapple	Plant ID:106550	Miscellaneous	Malus coronaria	106550.0
	Attalea maripa	Plant ID:1933368	Miscellaneous	Attalea maripa	1933368.0
	Dichrostachys cinerea	Plant ID:196665	Miscellaneous	Dichrostachys cinerea	196665.0
	Malus florentina	Plant ID:106552	Miscellaneous	Malus florentina	106552.0
oregon crabapple	Oregon crabapple	Plant ID:106553	Miscellaneous	Malus fusca	106553.0
	Salvia hispanica	Plant ID:49212	Miscellaneous	Salvia hispanica	49212.0
	Malus halliana	Plant ID:106554	Miscellaneous	Malus halliana	106554.0
