disease-id	gene-id	source
OMIM:616890	MAP3K20	UNIPROT
MESH:D012600	DLL3	CTD_human
MESH:D012600	NOTCH1	CTD_human
MESH:C567254	RPL11	CTD_human, UNIPROT
MESH:C567548	OFC12	CTD_human
MESH:C563663	LAMTOR2	CTD_human, ORPHANET
MESH:C536254	ALDH7A1	CTD_human, ORPHANET, UNIPROT
MESH:C564273	DFNB38	CTD_human
MESH:C564675	TMC1	CTD_human, UNIPROT
OMIM:193235	LRP5	CTD_human
OMIM:193235	CAPN5	ORPHANET, UNIPROT
MESH:C567831	SYNE1	UNIPROT
MESH:C562937	FGFR3	CTD_human, ORPHANET, UNIPROT
MESH:D012164	CDH3	HPO
MESH:D012164	OCLN	CTD_human
MESH:D012164	SDCCAG8	CTD_human
MESH:D012164	CHAT	CTD_human
MESH:D012164	TREX1	HPO
MESH:D012164	COL2A1	HPO
MESH:D012164	COL9A1	CTD_human
MESH:D012164	COL11A1	HPO
MESH:D012164	CTNS	HPO
MESH:D012164	AGXT	HPO
MESH:D012164	ERCC2	HPO
MESH:D012164	ERCC3	HPO
MESH:D012164	ERCC4	HPO
MESH:D012164	ERCC5	HPO
MESH:D012164	ALDH3A2	HPO
MESH:D012164	TRIM32	HPO
MESH:D012164	SIRT1	CTD_human
MESH:D012164	MMACHC	HPO
MESH:D012164	TINF2	HPO
MESH:D012164	GCK	HPO
MESH:D012164	HBB	HPO
MESH:D012164	VSX1	CTD_human
MESH:D012164	HMOX1	CTD_human
MESH:D012164	ICAM1	CTD_human
MESH:D012164	IDUA	HPO
MESH:D012164	IFNA2	CTD_human
MESH:D012164	INS	HPO
MESH:D012164	PDX1	HPO
MESH:D012164	ABCC6	HPO
MESH:D012164	KCNJ11	HPO
MESH:D012164	MIR182	CTD_human
MESH:D012164	MIR183	CTD_human
MESH:D012164	MIR96	CTD_human
MESH:D012164	MMP9	CTD_human
MESH:D012164	MTNR1A	CTD_human
MESH:D012164	MTTP	HPO
MESH:D012164	MYO5A	HPO
MESH:D012164	NEU1	HPO
MESH:D012164	NOS2	CTD_human
MESH:D012164	SAR1B	HPO
MESH:D012164	PDGFB	CTD_human
MESH:D012164	ENPP1	HPO
MESH:D012164	PEX7	HPO
MESH:D012164	PHYH	HPO
MESH:D012164	PKD2	CTD_human
MESH:D012164	PLOD1	HPO
MESH:D012164	PROS1	HPO
MESH:D012164	PTCH1	HPO
MESH:D012164	PTPRC	CTD_human
MESH:D012164	ABCC8	HPO
MESH:D012164	THY1	CTD_human
MESH:D012164	TNF	CTD_human
MESH:D012164	TTPA	CTD_human
MESH:D012164	VEGFA	CTD_human
MESH:D012164	VIM	CTD_human
MESH:D012164	FZD4	CTD_human
MESH:D012164	DPM1	HPO
MESH:C563853	MED13L	CTD_human, UNIPROT
MESH:D020347	ESR2	CTD_human
MESH:C580192	FOXP3	CTD_human, ORPHANET, UNIPROT
MESH:D003110	CCAT1	CTD_human
MESH:D003110	CDKN1A	CTD_human
MESH:D003110	KDM5B	CTD_human
MESH:D003110	PTP4A3	CTD_human
MESH:D003110	CHEK2	HPO
MESH:D003110	CKM	CTD_human
MESH:D003110	LRG1	CTD_human
MESH:D003110	CP	CTD_human
MESH:D003110	CRYAB	CTD_human
MESH:D003110	PARP4	CTD_human
MESH:D003110	CTNNB1	CTD_human
MESH:D003110	CYP26A1	CTD_human
