	disease-id	gene-id	source
0	MESH:C000591739	1588	ORPHANET
1	MESH:C000596385	26504	UNIPROT
2	MESH:C000598645	9499	CTD_human;ORPHANET;UNIPROT
3	MESH:C000600608	29940	ORPHANET
4	MESH:C000600608	113189	CTD_human;ORPHANET;UNIPROT
5	MESH:C531600	857	HPO
6	MESH:C531600	1026	HPO
7	MESH:C531600	1027	HPO
8	MESH:C531600	1030	HPO
9	MESH:C531600	1031	HPO
10	MESH:C531600	2353	HPO
11	MESH:C531600	2778	HPO
12	MESH:C531600	3643	HPO
13	MESH:C531600	4221	HPO
14	MESH:C531600	5468	HPO
15	MESH:C531600	5573	HPO
16	MESH:C531600	9049	HPO
17	MESH:C531600	10555	HPO
18	MESH:C531600	26580	HPO
19	MESH:C531609	1893	HPO
20	MESH:C531609	3887	HPO
21	MESH:C531609	3889	HPO
22	MESH:C531609	3892	HPO
23	MESH:C531609	8626	HPO
24	MESH:C531617	283	CTD_human
25	MESH:C531617	331	CTD_human
26	MESH:C531617	598	CTD_human
27	MESH:C531617	682	CTD_human
28	MESH:C531617	794	CTD_human
29	MESH:C531617	834	CTD_human
30	MESH:C531617	924	CTD_human
31	MESH:C531617	968	CTD_human
32	MESH:C531617	1191	CTD_human
33	MESH:C531617	1270	CTD_human
34	MESH:C531617	1387	CTD_human
35	MESH:C531617	1471	CTD_human
36	MESH:C531617	1509	CTD_human
37	MESH:C531617	1639	CTD_human;UNIPROT
38	MESH:C531617	2251	CTD_human
39	MESH:C531617	2326	CTD_human
40	MESH:C531617	2353	CTD_human
41	MESH:C531617	2554	CTD_human
42	MESH:C531617	2637	CTD_human
43	MESH:C531617	2664	CTD_human
44	MESH:C531617	2670	CTD_human
45	MESH:C531617	2892	CTD_human
46	MESH:C531617	3297	CTD_human
47	MESH:C531617	3718	CTD_human
48	MESH:C531617	3727	CTD_human
49	MESH:C531617	3797	CTD_human
50	MESH:C531617	3949	CTD_human
51	MESH:C531617	4744	CTD_human
52	MESH:C531617	5154	CTD_human
53	MESH:C531617	5179	CTD_human
54	MESH:C531617	5444	CTD_human
55	MESH:C531617	5630	CTD_human
56	MESH:C531617	6256	CTD_human
57	MESH:C531617	6404	CTD_human
58	MESH:C531617	6464	CTD_human
59	MESH:C531617	6615	CTD_human
60	MESH:C531617	6647	CTD_human;UNIPROT
61	MESH:C531617	7074	CTD_human
62	MESH:C531617	7090	CTD_human
63	MESH:C531617	7114	CTD_human
64	MESH:C531617	7124	CTD_human
65	MESH:C531617	7431	CTD_human
66	MESH:C531617	7476	CTD_human
